title,arousal,character,characters_involved,dominance,episode,episode_title,full_dialogue,given_circumstances,importance,internal_thoughts,motivation,pleasure,reflection,scene_arc,scene_id,scene_number,season
Angela predicts she will be fired — Kevin agrees sincerely | self-martyrdom,0.8,Angela,"Angela, Kevin",-0.6,1,Pilot,"Angela: I bet it's gonna be me. Probably gonna be me.
Kevin: Yeah, it'll be you.",Downsizing anxiety has reached the accounting department. Angela is processing threat through her characteristic framework of resigned righteousness.,4,If anyone is going to be let go it will be me because that's how things work for people who do everything right. The universe is not fair. Kevin will tell me I'm wrong. [Kevin agrees] He agreed. Kevin agreed with me.,"To voice her anxiety in a way that invites reassurance. Angela wants someone to say 'no, of course not you' — she is fishing, not predicting.",-0.7,Kevin has no filter but he also has no malice. He simply said what he thought. That is somehow worse than if he meant it. I need to be more careful who I process fear with.,"Angela predicts her own firing as a performance of dignified resignation. Kevin agrees with complete sincerity, not realizing this is not the response she wanted.",S1E01-SC14,14,1
Accounting department self-introductions — Angela describes Oscar as a stapler she has to push | control,0.4,Angela,"Angela, Kevin, Oscar",0.8,1,Pilot,"Angela: My name is Angela and um, I'm in charge of the accounting department. There are three of us, Kevin and Oscar.
Oscar: It's my job to keep the books in order. And, um, I... I'm, uh, immediately below my supervisor.
Angela: Oscar, how do I describe him. He's like a stapler. Do I need a stapler? Yes. But, I'm still the one that has to push it down.
Oscar: There's a lot of anxiety. I don't want to get laid off. This place is like five minutes from my house.
Kevin: I don't wanna be laid off. This is a good job for me. 'Cause I need my nights free. I'm in a band.
Angela: Not very worried about downsizing right now. Because, uh, I think you've met Kevin and um...
Oscar: Can I just say one thing? Um, my friend is Jewish, Art Geller. And a couple of years ago he, um, showed me how you can plant a tree in Israel, so I planted a tree. So... You know 'cause... Yeah we work in paper. Well, you know, I try to give back.
Angela: I have a lot of cat figurines on my desk. I think cats, really, are old souls. And, uh, Phyllis thinks so too.",The accounting team gives their introductions to the documentary. Angela goes first and frames her colleagues as burdens she manages.,5,I am in charge of this department. Oscar is functional but requires management. Kevin... I implied it without saying it. Not worried about downsizing because of Kevin and um. They'll understand. My cats are a comfort. Old souls.,To establish herself as the load-bearing member of the accounting department and subtly position Kevin as the redundancy.,0.4,I am the one who holds this together. That is true. The stapler metaphor was good — Oscar is useful but I am the force that makes him useful. This is an accurate description.,"Three separate self-portraits: Angela as the indispensable authority, Oscar as the anxious pragmatist, Kevin as the guileless honest one. A complete accounting tableau.",S1E01-SC46,46,1
Michael coaches Kevin and Angela to go further in the exercise | pushing,0.5,Angela,"Angela, Kevin, Michael",0.3,2,Diversity Day,"Kevin: Hey.
Angela: Hey.
Kevin: You wanna go to the beach?
Angela: Sure.
Kevin: You wanna get high?
Angela: No.
Kevin: I think you do, mon.
Angela: Stop...
Michael: OK. All right. No. It's good. You just need to push it. You need to go a little bit further. All right. OK.","The race-card exercise is ongoing. Kevin and Angela are interacting and Michael is watching, pushing them to go further.",3,Kevin asked if I want to get high. No. He did the accent. I told him to stop. Michael says we need to push further. I am not pushing further. I am standing here until this ends.,To play along at the absolute minimum level and end the interaction as fast as possible.,-0.6,I participated. That's all anyone can ask. I said 'no' and 'stop' and Michael still said it was good. It wasn't good. Nothing about this is good.,"Michael coaches Kevin and Angela through an exchange during the race card exercise, pushing them to go further. They're doing their best. Michael wants more.",S1E02-SC24,24,1
"Oscar, Kevin, and Angela react to Michael's refusal to leave his office | helplessness",0.6,Angela,"Angela, Kevin, Oscar",-0.2,3,Health Care,"Oscar: He literally won't come out of his office.
Kevin: He's got to come out sometime. To go to the bathroom.
Angela: Kevin! That's inappropriate.","Oscar, Kevin, and Angela are gathered together, quietly fuming about the health care plan and Michael's refusal to emerge from his office.",2,Kevin mentioned the bathroom. That is not a workplace conversation. I said his name and the word inappropriate. That should be sufficient.,To maintain standards of conversation even in a crisis.,-0.4,I corrected Kevin. The group continues.,"Oscar, Kevin, and Angela react to Michael's refusal to emerge. Kevin notes the bathroom problem. Angela shuts him down. The group is unified in frustration and helpless.",S1E03-SC15,15,1
Oscar and Angela debrief — Angela calls Oscar out for letting Michael escape | accountability,0.6,Angela,"Angela, Kevin, Oscar",0.6,3,Health Care,"Oscar: This is not good.
Angela: It's ridiculous. Did you talk to him?
Oscar: What was that?
Angela: You let him walk all over you. It's just pathetic.
Kevin: What are you guys talking about?
Angela: Nothing, Kevin.","Oscar, Kevin, and Angela are together after the confrontation with Michael. They are processing what just happened.",3,"Oscar let Michael off the hook with the surprise announcement. I said so directly. He deflects with a question. I called it pathetic. Kevin asked what we're talking about. I said nothing, Kevin. That's the correct answer.",To hold the coalition to a higher standard of resistance.,0.1,I said the hard thing. Oscar received it poorly. Kevin is not part of this conversation.,Oscar and Angela debrief after Michael's non-response. Angela accuses Oscar of being walked over. Kevin asks what they're talking about. Angela shuts him out. The coalition is fractured by internal contempt.,S1E03-SC17,17,1
Michael performs a drum roll with no surprise inside it — and stays in the drum roll | self-deception,0.5,Angela,"Angela, Dwight, Michael, Oscar, Pam, Stanley",0.2,3,Health Care,"Oscar: Well?
Michael: Well, what? You could be referring to anything.
Oscar: OK, the health care plan.
Pam: Why did you put Dwight in charge of that? He did a horrible job.
Michael: Uh, Dwight? Did you raise benefits?
Dwight: I most certainly did not.
Michael: Oh come on! That's horrible! Aaah... Thanks, Dwight, for a crappy plan. Ah, Damn! Oh, mmm, I wish I had time to change it, but Jan needs it by five, and... what time is it, what time is it? [looks at watch] Ah, it's after five. Oh, oh it's awful. So, well, OK. See you guys on Monday.
Angela: What about the surprise?
Michael: Oh... Yes. Exactly. Thank you Angela, for reminding me. Terrific. Um, before I tell everybody what the big surprise is, would you like to tell me what you think the big surprise is?
Stanley: We all think you don't have a surprise.
Michael: All right, I have some news for you. There is a big surprise. And... here it is. Here we go. And the big surprise is... Brrrrrrrr! Drum roll... Brrrrrrrr! Brrrrrrrr!",The end of day has arrived. The staff has assembled outside Michael's office expecting the promised surprise. Michael has no surprise and must now face them.,3,He was going to leave without addressing the surprise. I asked. I had to ask. He pivoted to drum rolls. Asking was the right move. Whatever comes next is better than him walking out.,To hold Michael to the promise he made.,-0.2,I forced the moment. The drum roll is what I got. It's something.,"The office assembles for the promised surprise. Michael throws Dwight under the bus for the plan, uses the clock to dodge fixing it, and then — when pushed about the surprise — performs a drum roll that goes nowhere.",S1E03-SC35,35,1
The party planning committee debates streamer colors — Angela rules green whoreish | control,0.6,Angela,"Angela, Pam, Phyllis",0.9,4,The Alliance,"Phyllis: Well, uh, for decorations, maybe we could... it's stupid, forget it.
Angela: What?
Phyllis: I was just going to say, maybe we could have streamers, but that's dumb, everybody has streamers. Never mind.
Angela: No, yeah, I think that's a good idea.
Phyllis: Yeah?
Angela: What color do you guys think?
Phyllis: Well, there's green, um, blue... yellow... red...
Pam: How about green?
Angela: I think green is kind of whoreish.","The party planning committee — Angela, Pam, and Phyllis — is meeting. Angela is in charge. The only item on the agenda so far is streamers.",3,Phyllis suggested streamers. I supported it. Then Pam said green. Green is whoreish. I said so. I will not apologize for having standards.,To maintain standards. Green is not an appropriate color for a workplace party.,0.3,Green was eliminated. The committee will find a better option.,The party planning committee debates streamers. Phyllis suggests green. Angela declares green whoreish. The committee is not functioning.,S1E04-SC6,6,1
Michael pushes ice-cream cake despite Meredith's dairy allergy — it's not just about her | self-centeredness,0.6,Angela,"Angela, Michael, Pam",0.4,4,The Alliance,"Michael: These are my party-planning beeyatches. Pulled off an amazing '80s party last year. Off the hook!
Michael: So I was thinking, if you haven't already got a cake, um, maybe going for one of those ice-cream cakes from Baskin-Robbins. Those are very good. Very Delicious.
Angela: Meredith's allergic to dairy, so...
Michael: She's not the only one that's going to be eating it, right? I think everybody likes ice-cream cake. It's not, uh, it's not just about her, so...
Pam: It is... her birthday.
Michael: Mint chocolate chip! That'd be good, how about some, mint chocolate chip?",Michael has convened with the party planning committee to weigh in on the cake. Angela has information Michael doesn't want.,3,Meredith is allergic to dairy. I said so. Michael dismissed it. Pam supported the point. Michael pivoted to a different flavor of the same dairy cake. The information was given. He chose not to use it. That is his choice and his consequence.,To ensure the party respects Meredith's dietary restrictions and that the committee's decisions are sound.,-0.2,I provided the relevant information. Michael overrode it. The committee's integrity is intact. The outcome is his responsibility.,Michael joins the party planning committee to push for an ice-cream cake. Angela informs him Meredith is dairy-allergic. Michael deflects — other people will eat it. Pam notes it is Meredith's birthday. Michael pivots to mint chocolate chip.,S1E04-SC8,8,1
The surprise party begins — Happy Birthday sung tunelessly | performance,0.2,Angela,"Angela, Everybody, Meredith, Michael",0.3,4,The Alliance,"Everybody: Surprise!
Meredith: Oh! Surprise.
Angela: No, it's ah...
Michael: It's surprise Meredith. One, two...
Everybody: [tunelessly] Happy birthday to you.
Michael: Find a key.
Everybody: Happy birthday...",The surprise birthday party is beginning. The office has gathered. Michael is leading the Happy Birthday.,2,She said 'surprise' and I started to clarify the occasion. Michael talked over it.,"To correct the surprise framing — this is a birthday party, not just a surprise.",-0.1,Michael talked over my clarification. The party continues.,The surprise party begins. Everyone sings. Michael tries to find the right key.,S1E04-SC32,32,1
Meredith reads birthday cards aloud — Michael's escalates to hysterectomy joke — the room splinters | harm,0.7,Angela,"Angela, Everybody, Meredith, Michael, Oscar, Pam, Phyllis",-0.2,4,The Alliance,"Pam: Happy Birthday. [gives Meredith her card]
Michael: Read it out loud. And say who wrote everything so we know whose is the best.
Meredith: 'Happy Bird-day' Um... 'Meredith, good news. You're not actually a year older because you work here, where time stands still.'
Michael: [under his breath] I don't know about that.
Meredith: That was Stanley. 'Meredith, happy birthday, you're the best. Love, Pam.'
Michael: [pretends to vomit] Huh! Thanks, downer.
Meredith: This is from Michael. 'Meredith, let's hope the only downsizing that happens to you is that someone downsizes your age.'
Michael: Because of the downsizing. Rumors. And because you're gettin' old.
Meredith: No, I... I get it. It's funny.
Michael: [laughs] You didn't get the joke. So, that's cool. That's, you know what? Actually... I have a bunch of these, good ones, that I didn't use. Um... Oh, where's that? Oh, OK, here's a good one. Um... 'Hey Meredith, Liz Taylor called, she wants her age back and her divorces back.' 'Cause Meredith's been divorced like, twice. Is that right?
Meredith: You're right. You're right. Yes.
Michael: Divorce. Um... OK, 'Meredith is so old...'
Oscar: How old is she?
Michael: Everybody? If... could do it? 'Meredith is so old...'
Everybody: How old is she?
Michael: She's so old, she went into an antique store and they kept her.'
Michael: That wasn't even mine. I got that off the Internet. Website. Um, don't get mad at me.
Oscar: Uh, nice party Michael.
Michael: This isn't my fault. Ladies, not your best effort. The streamers? I think we could have done better than that.
Angela: Phyllis wanted red, I didn't.
Phyllis: Oh, boy... You...
Michael: OK, we... all right. People, hold on, hold on. Just a second. OK, I think we're losing sight of what is really important here. And that is that we are... a group of people... who work together. I was... I really wasn't gonna flaunt this. I have made a very sizable donation to Oscar's nephew's... walkathon. $25.
Oscar: Per mile.
Michael: Per mile, yes.",The party is at its peak. Meredith is reading birthday cards aloud at Michael's request. Michael's card is incoming.,3,He said the streamers were not our best effort. Phyllis wanted red. I didn't. I said so on the record. Michael moved on before either of us could finish.,To defend her streamer decision when Michael attacks the decoration choices.,-0.5,I clarified the streamer decision responsibility. The record is corrected.,"Meredith reads the birthday cards aloud. Michael's card lands badly. He escalates into backup material including Liz Taylor, the antique store joke, and finally the hysterectomy/Michael Jackson comparison. The room splinters. Michael pivots to the walkathon donation as redemption.",S1E04-SC41,41,1
